Threads,Strong_Time(s),Speedup,Weak_N,Weak_Time(s),Weak_Efficiency(%)
1,2.6877,1.00,256,0.1402,100.0%
2,1.2981,2.07,362,0.1346,104.2%
4,0.6302,4.27,512,0.1606,87.3%
8,0.3633,7.40,724,0.1860,75.4%
