Threads,Strong_Time(s),Speedup,Weak_N,Weak_Time(s),Weak_Efficiency(%)
1,2.2650,1.00,256,0.1438,100.0%
2,1.1578,1.96,362,0.1415,101.6%
4,0.6166,3.67,512,0.1589,90.5%
8,0.3596,6.30,724,0.2409,59.7%
