Threads,Strong_Time(s),Speedup,Weak_N,Weak_Time(s),Weak_Efficiency(%)
1,2.2103,1.00,256,0.1363,100.0%
2,1.1498,1.92,362,0.1375,99.1%
4,0.6487,3.41,512,0.1545,88.2%
8,0.3587,6.16,724,0.1819,75.0%
