Threads,Strong_Time(s),Speedup,Weak_N,Weak_Time(s),Weak_Efficiency(%)
1,2.4570,1.00,256,0.1381,100.0%
2,1.1921,2.06,362,0.1530,90.3%
4,0.8430,2.91,512,0.1577,87.6%
8,0.3668,6.70,724,0.1879,73.5%
