Version,Block_Size,N,Threads,Iters,Runs,Median_s,Mean_s,Stddev_s,Samples_s
Serial_Tiled,32,1024,1,2000,10,2.27395,2.1768899999999998,0.23403291055367023,2.057;2.2673;1.6647;2.0355;2.3161;2.0021;2.4021;2.3907;2.2806;2.3528
Serial_Tiled,64,1024,1,2000,10,2.2634,2.26114,0.23339982481189275,2.276;2.2508;2.6061;2.3226;2.227;2.1408;2.3548;2.2376;1.7178;2.4779
Serial_Tiled,128,1024,1,2000,10,2.11415,2.17049,0.36345181386258063,2.0909;2.2053;1.9669;3.1007;1.9546;1.7737;2.1374;1.9539;2.3166;2.2049
Serial_Tiled,256,1024,1,2000,10,1.9946,2.14484,0.5301419080460124,2.0296;1.7956;1.8253;3.5516;1.8364;2.0791;2.4378;1.8441;1.9596;2.0893
OpenMP_Tiled,32,1024,8,2000,10,0.400076,0.4386166,0.1441272596455415,0.352014;0.382988;0.398594;0.448442;0.356405;0.380413;0.401558;0.419093;0.840726;0.405933
OpenMP_Tiled,64,1024,8,2000,10,0.346843,0.3475739,0.023299124997637907,0.296137;0.365068;0.370488;0.363906;0.339658;0.374145;0.328649;0.34601;0.344002;0.347676
OpenMP_Tiled,128,1024,8,2000,10,0.3526025,0.3490588,0.027997599816968435,0.377195;0.319674;0.321467;0.354421;0.36468;0.363222;0.309805;0.397333;0.332007;0.350784
OpenMP_Tiled,256,1024,8,2000,10,0.3375475,0.357829,0.06915606255419693,0.544492;0.344033;0.331062;0.328204;0.330618;0.316408;0.298916;0.363674;0.375288;0.345595
