Version,N,Threads,Iters,Runs,Median_s,Mean_s,Stddev_s,Samples_s
Column_Major_Serial,1024,8,2000,10,20.3427725,20.5983326,1.0424398754145328,19.658005;20.358219;20.678567;20.327326;19.459691;21.981395;19.953484;19.982277;20.816705;22.767657
Serial_Tiled_B256,1024,8,2000,10,1.9946,2.14484,0.5301419080460124,2.0296;1.7956;1.8253;3.5516;1.8364;2.0791;2.4378;1.8441;1.9596;2.0893
Column_Major_OpenMP,1024,8,2000,10,3.7156515,3.6719992,0.2029098124415541,3.877248;3.877707;3.64727;3.429984;3.400623;3.383648;3.677945;3.905454;3.753358;3.766755
OpenMP_Tiled_B256,1024,8,2000,10,0.3375475,0.357829,0.06915606255419693,0.544492;0.344033;0.331062;0.328204;0.330618;0.316408;0.298916;0.363674;0.375288;0.345595
